,0
0, Employer Name (H1B LCA Filings Count)
1,Meta Platforms INC (146)
2,Wal Mart Associates INC (115)
3,Google LLC (104)
4,Intel Corporation (64)
5,Apple INC (61)
6,Aetna Resources LLC (37)
7,Oracle America INC (31)
8,Caremark LLC (23)
9,Amgen INC (21)
10,Visa USA INC (19)
11,the Boston Consulting Group INC (18)
12,Cisco Systems INC (17)
13,Linkedin Corporation (16)
14,Ford Motor Company (16)
15,Cloudberg TEC Limited Company (16)
16,IBM Corporation (14)
17,Lyft INC (13)
18,Uber Technologies INC (12)
19,Bytedance INC (12)
20,C3ai INC (12)
21,Battelle Memorial Institute (11)
22,Microsoft Corporation (11)
23,Social Finance INC (10)
24,Nvidia Corporation (10)
25,MPG Operations LLC (9)
26,Ericsson INC (9)
27,Waymo LLC (9)
28,International Business Machines Corporation (8)
29,Doordash INC (8)
30,NK Technolabs LLC (7)
31,Bayer Research and Development Services LLC (7)
32,Hewlett Packard Enterprise Company (7)
33,Intuit INC (7)
34,Blend360 LLC (7)
35,Elevance Health INC (7)
36,Pinterest INC (7)
37,Incedo INC (6)
38,Artificial Intelligence Technologies LLC (6)
39,Nextdoor INC (6)
40,Bloomberg LP (6)
41,ACE American Insurance Company (6)
42,Afterpay US INC (6)
43,Netflix INC (6)
44,Home Depot Management Company LLC (6)
45,Quora INC (6)
46,Block INC (6)
47,Airbnb INC (6)
48,the Childrens Hospital of Philadelphia (6)
49,Dropbox INC (5)
50,AON Consulting INC (5)
51,Optibrand LLC (5)
52,California Institute of Technologyjet Propulsion Laboratory (5)
53,Asana INC (5)
54,Colaberry INC (5)
55,Digital Technologies LLC (5)
56,Robotics Technologies LLC (5)
57,Expedia INC (5)
58,the University of Texas MD Anderson Cancer Center (5)
59,Ascentt Business Systems INC (5)
60,Progressive Casualty Insurance Company (5)
61,Safeway INC (5)
62,CVS Pharmacy INC (5)
63,Contextlogic INC DBA Wish (5)
64,Tiktok INC (5)
65,Siemens Medical Solutions USA INC (5)
66,Data Science Technologies LLC (5)
67,Visa Technology & Operations LLC (5)
68,Point72 LP (5)
69,Climate LLC (5)
70,T Mobile USA INC (5)
71,Stripe INC (5)
72,the Hertz Corporation (5)
73,Maplebear INC (5)
74,WW International INC (5)
75,Schlumberger Technology Corporation (5)
76,Focuskpi INC (4)
77,Two Sigma Investments LP (4)
78,Stitch FIX INC (4)
79,ICE Data Pricing & Reference Data LLC (4)
80,Quantum Technologies LLC (4)
81,Verily Life Sciences LLC (4)
82,US Bank National Association (4)
83,the University of Phoenix INC (4)
84,Nuro INC (4)
85,Etek IT Solutions INC (4)
86,Mongodb INC (4)
87,University of Michigan (4)
88,Leidos INC (4)
89,Roku INC (4)
90,Soothsayer Analytics LLC (4)
91,Cbre INC (4)
92,Huma AI INC (4)
93,Cequence Security INC (4)
94,Paypal INC (4)
95,Deloitte & Touche LLP (4)
96,Centific Technologies INC (4)
97,Zeus Solutions INC (4)
98,Indeed INC (4)
99,Zymebalanz LLC (4)
100,Salesforce INC (4)
